2019-12-09 21:56:47.303712:   [INFO  ]   -----------------------------------------------------------------------------
2019-12-09 21:56:47.303925:   [INFO  ]   Hello world!
2019-12-09 21:56:47.304133:   [INFO  ]   Start main processing!
2019-12-09 21:56:48.011167:   [START ]   Start Prepare Traning data
2019-12-09 21:56:48.020590:   [RESULT]   ----------Score on Ele Limiting 59: 2.6165778107866817----------
2019-12-09 21:56:48.020692:   [RESULT]   ----------Score on Ele Limiting 60: 2.6324500029688007----------
2019-12-09 21:56:48.020787:   [RESULT]   ----------Score on Ele Limiting 61: 2.525246693975717----------
2019-12-09 21:56:48.020932:   [RESULT]   ----------Score on Ele Limiting 62: 2.95234830507501----------
2019-12-09 21:56:48.021049:   [RESULT]   ----------Score on Ele Limiting 63: 2.9649090649849206----------
2019-12-09 21:56:48.021139:   [RESULT]   ----------Score on Ele Limiting 64: 2.9130340449823997----------
2019-12-09 21:56:48.021242:   [RESULT]   ----------Score on Ele Limiting 65: 2.6933291528089605----------
2019-12-09 21:56:48.021330:   [RESULT]   ----------Score on Ele Limiting 66: 2.8186658455963136----------
2019-12-09 21:56:48.021437:   [RESULT]   ----------Score on Ele Limiting 67: 2.537249849053496----------
2019-12-09 21:56:48.021598:   [RESULT]   ----------Score on Ele Limiting 68: 2.861659591951385----------
2019-12-09 21:56:48.021684:   [RESULT]   ----------Score on Ele Limiting 69: 2.7921524436103398----------
2019-12-09 21:56:48.021797:   [RESULT]   ----------Score on Ele Limiting 70: 2.698117128936127----------
2019-12-09 21:56:48.021884:   [RESULT]   ----------Score on Ele Limiting 71: 2.702289046441649----------
2019-12-09 21:56:48.021993:   [RESULT]   ----------Score on Ele Limiting 72: 2.883900848587081----------
2019-12-09 21:56:48.022080:   [RESULT]   ----------Score on Ele Limiting 73: 2.9660152858411037----------
2019-12-09 21:56:48.022189:   [RESULT]   ----------Score on Ele Limiting 74: 2.8844061511700896----------
2019-12-09 21:56:48.022348:   [RESULT]   ----------Score on Ele Limiting 75: 2.8733421490432898----------
2019-12-09 21:56:48.022596:   [RESULT]   ----------Score on Ele Limiting 76: 3.2328195431031683----------
2019-12-09 21:56:48.022716:   [RESULT]   ----------Score on Ele Limiting 77: 2.694892508934033----------
2019-12-09 21:56:48.022825:   [RESULT]   ----------Score on Ele Limiting 78: 3.1915798428890567----------
2019-12-09 21:56:48.022931:   [RESULT]   ----------Score on Ele Limiting 79: 2.743669101846369----------
2019-12-09 21:56:48.023049:   [RESULT]   ----------Score on Ele Limiting 80: 2.900571603687473----------
2019-12-09 21:56:48.023149:   [RESULT]   ----------Score on Ele Limiting 81: 3.0690497366899536----------
2019-12-09 21:56:48.023263:   [RESULT]   ----------Score on Ele Limiting 82: 2.8477264257868815----------
2019-12-09 21:56:48.023356:   [RESULT]   ----------Score on Ele Limiting 83: 2.8182849404960795----------
2019-12-09 21:56:48.023472:   [RESULT]   ----------Score on Ele Limiting 84: 2.9919233025990346----------
2019-12-09 21:56:48.023563:   [RESULT]   ----------Score on Ele Limiting 85: 2.839299590155197----------
2019-12-09 21:56:48.023676:   [RESULT]   ----------Score on Ele Limiting 86: 3.03520637473911----------
2019-12-09 21:56:48.023772:   [RESULT]   ----------Score on Ele Limiting 87: 3.0250280707995825----------
2019-12-09 21:56:48.024014:   [RESULT]   ----------Score on Ele Limiting 88: 2.9803381965116524----------
2019-12-09 21:56:48.024126:   [RESULT]   ----------Score on Ele Limiting 89: 3.0332018305429025----------
2019-12-09 21:56:48.024235:   [RESULT]   ----------Score on Ele Limiting 90: 2.4637972599304447----------
2019-12-09 21:56:48.024343:   [RESULT]   ----------Score on Ele Limiting 91: 2.6142509825466864----------
2019-12-09 21:56:48.024461:   [RESULT]   ----------Score on Ele Limiting 92: 2.9354202241809113----------
2019-12-09 21:56:48.024552:   [RESULT]   ----------Score on Ele Limiting 93: 2.9936764564538563----------
2019-12-09 21:56:48.024883:   [RESULT]   ----------Score on Ele Limiting 94: 3.21973024903909----------
2019-12-09 21:56:48.025175:   [RESULT]   ----------Score on Ele Limiting 95: 3.4142555652676507----------
2019-12-09 21:56:48.025437:   [RESULT]   ----------Score on Ele Limiting 96: 3.009010848154095----------
2019-12-09 21:56:48.025684:   [RESULT]   ----------Score on Ele Limiting 97: 2.796766333943203----------
2019-12-09 21:56:48.025772:   [RESULT]   ----------Score on Ele Limiting 98: 2.937250192691448----------
2019-12-09 21:56:48.025882:   [RESULT]   ----------Score on Ele Limiting 99: 2.890236264902282----------
2019-12-09 21:56:48.026062:   [RESULT]   ----------Score on Ele Limiting 100: 3.039897199576679----------
2019-12-09 21:56:48.026150:   [RESULT]   ----------Score on Ele Limiting 101: 2.8684451544518845----------
2019-12-09 21:56:48.026258:   [RESULT]   ----------Score on Ele Limiting 102: 3.0937206423205486----------
2019-12-09 21:56:48.026345:   [RESULT]   ----------Score on Ele Limiting 103: 3.0459601314165----------
2019-12-09 21:56:48.026513:   [RESULT]   ----------Score on Ele Limiting 104: 2.7165987411183434----------
2019-12-09 21:56:48.026650:   [RESULT]   ----------Score on Ele Limiting 105: 3.094842474861173----------
2019-12-09 21:56:48.026752:   [RESULT]   ----------Score on Ele Limiting 106: 2.8832957294497756----------
2019-12-09 21:56:48.026842:   [RESULT]   ----------Score on Ele Limiting 107: 2.828301442413492----------
2019-12-09 21:56:48.026966:   [RESULT]   ----------Score on Ele Limiting 108: 2.8104871084398018----------
2019-12-09 21:56:48.027053:   [RESULT]   ----------Score on Ele Limiting 109: 2.8823474917638654----------
2019-12-09 21:56:48.027200:   [RESULT]   ----------Score on Ele Limiting 110: 2.888026915147798----------
2019-12-09 21:56:48.027294:   [RESULT]   ----------Score on Ele Limiting 111: 3.106781174715327----------
2019-12-09 21:56:48.027389:   [RESULT]   ----------Score on Ele Limiting 112: 3.0528153163378824----------
2019-12-09 21:56:48.027487:   [RESULT]   ----------Score on Ele Limiting 113: 2.749407783248846----------
2019-12-09 21:56:48.027633:   [RESULT]   ----------Score on Ele Limiting 114: 3.085721074508372----------
2019-12-09 21:56:48.027724:   [RESULT]   ----------Score on Ele Limiting 115: 2.473863769169728----------
2019-12-09 21:56:48.027917:   [RESULT]   ----------Score on Ele Limiting 116: 2.8218619206069104----------
2019-12-09 21:56:48.028020:   [RESULT]   ----------Score on Ele Limiting 117: 2.9372656683804768----------
2019-12-09 21:56:48.028128:   [RESULT]   ----------Score on Ele Limiting 118: 2.9777701070828644----------
2019-12-09 21:56:48.028218:   [RESULT]   ----------Score on Ele Limiting 119: 2.818673768124114----------
2019-12-09 21:56:48.028328:   [RESULT]   ----------Score on Ele Limiting 120: 2.8112822712449215----------
2019-12-09 21:56:48.028415:   [RESULT]   ----------Score on Ele Limiting 121: 3.0566237398184866----------
